NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_00407	0	0	11.64459	15.845513
HaLaN_00412	70.309212	126.234154	77.065735	92.718414
HaLaN_00417	0	0	27.343929	29.423063
HaLaN_00418	0	0	19.877386	20.656689
HaLaN_00419	0	0	6.555348	4.601301
HaLaN_00424	0	0	9.060625	7.2161
HaLaN_00426	145.197449	105.32988	0	0
HaLaN_00428	0	0	27.465158	32.5214
HaLaN_00431	0	0	4.712192	9.469022
HaLaN_00435	53.680531	74.579353	75.00338	72.120628
HaLaN_00442	0	0	29.080933	32.961235
HaLaN_00446	0	0	10.58624	12.968081
HaLaN_00447	0	0	17.092644	9.288557
HaLaN_00451	232.134659	352.78772	186.62326	166.321503
HaLaN_00457	0	0	2.583337	4.451341
HaLaN_00458	0	0	11.045281	14.407637
HaLaN_00462	50.825726	76.939964	76.316444	77.211617
HaLaN_00463	0	0	24.184111	17.854691
HaLaN_00465	0	0	25.578527	18.163843
HaLaN_00466	73.649139	39.381866	113.389771	84.427925
HaLaN_00467	0	0	37.426296	35.860043
HaLaN_00470	1657.468262	1738.092773	1872.694824	1788.564453
HaLaN_00471	820.489441	955.642273	706.355896	681.334595
HaLaN_00472	0	0	7.287236	6.866981
HaLaN_00474	0	0	13.774129	5.420432
HaLaN_00475	0	0	8.420986	13.551833
HaLaN_00476	0	0	19.898655	17.830818
HaLaN_00477	0	0	33.448067	21.431574
HaLaN_00479	502.161896	514.565369	145.868561	145.271378
HaLaN_00480	1.766992	3.267992	0.758209	1.049891
HaLaN_00482	44.219124	60.741787	8.265104	7.77543
HaLaN_00483	0	0	12.363421	6.496691
HaLaN_00485	0	0	133.879547	151.915665
HaLaN_00487	0	0	27.299196	23.599588
HaLaN_00493	0	0	2.428674	2.727139
HaLaN_00495	393.27066	294.274048	551.024353	492.024292
HaLaN_00504	0	0	5.082994	4.703949
HaLaN_00505	0	0	2.481796	3.527459
HaLaN_00508	7170.345215	7614.065918	7825.674805	7312.335938
HaLaN_00509	0	0	5.816442	10.924734
HaLaN_00513	0	0	7.636767	5.331315
HaLaN_00514	0	0	6.830904	8.112586
HaLaN_00515	0	0	13.002276	16.942039
HaLaN_00516	0	0	12.324249	21.258997
HaLaN_00521	0	0	13.606312	11.395161
HaLaN_00522	0	0	34.801201	34.46896
