NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_08402	335.394379	233.552795	300.127625	318.083282
HaLaN_08403	0	0	47.201855	45.627892
HaLaN_08404	0	0	53.139256	40.32259
HaLaN_08405	0	0	53.633762	49.189465
HaLaN_08409	0	0	1.661353	3.531959
HaLaN_08410	0	0	12.344805	14.504289
HaLaN_08411	0	0	10.415201	12.871684
HaLaN_08416	0	0	31.919014	32.157112
HaLaN_08418	0	0	4.191281	10.456955
HaLaN_08419	0	0	22.095991	16.582594
HaLaN_08438	0	0	2.883092	2.827169
HaLaN_08440	0	0	20.705948	24.690695
HaLaN_08442	0	0	4.814494	9.683308
HaLaN_08443	0	0	11.6648	16.742712
HaLaN_08444	0	0	6.085633	10.751218
HaLaN_08445	0	0	5.187269	7.99909
HaLaN_08449	0	0	3.125198	13.775634
HaLaN_08450	0	0	37.007465	19.889338
HaLaN_08456	0	0	9.016893	21.922539
HaLaN_08458	0	0	9.141086	37.300537
HaLaN_08471	2659.891846	3563.857422	8533.960938	10205.640625
HaLaN_08474	258.886871	286.941101	170.904739	216.383194
HaLaN_08477	0	0	10.647616	9.703336
HaLaN_08480	0	0	8.027124	6.586524
HaLaN_08483	27.690823	88.963493	57.171886	53.70512
HaLaN_08488	0	0	12.900211	16.973276
HaLaN_08493	3066.444824	3098.160645	2244.128174	2082.634521
HaLaN_08495	0	0	8.053761	14.255676
HaLaN_08497	36.675549	60.834671	55.576275	61.581364
HaLaN_08498	960.188354	668.796082	85.49054	66.014336
HaLaN_08499	723.151978	887.406494	66.80352	62.259933
HaLaN_08500	64.285934	52.61895	40.628162	30.239468
HaLaN_08503	0	0	45.472565	33.933613
HaLaN_08506	0	0	5.467257	6.840628
HaLaN_08508	0	0	13.731564	17.236441
HaLaN_08517	0	0	17.954805	33.103508
HaLaN_08523	132.053619	63.07753	157.976852	170.704117
HaLaN_08533	0	0	59.213772	42.596123
HaLaN_08534	0	0	26.476101	28.96026
HaLaN_08552	582.38446	421.423828	403.114349	404.317749
HaLaN_08553	0	0	95.043884	79.381699
HaLaN_08555	0	0	6.035589	11.733228
HaLaN_08556	150.013489	136.795181	130.173218	133.831146
HaLaN_08563	0	0	114.917198	106.275604
HaLaN_08564	0	0	159.239151	173.03685
HaLaN_08567	1142.766113	1117.847412	642.821838	567.62915
HaLaN_08568	5019.444824	5465.66748	1660.263916	1364.692139
HaLaN_08569	8991.130859	8373.142578	3648.718994	3145.707031
HaLaN_08587	0	0	3.003977	5.203688
HaLaN_08588	0	0	4.155483	2.562323
HaLaN_08589	242.860809	94.403793	94.229523	126.707481
HaLaN_08591	0	0	11.834923	26.584425
HaLaN_08593	0	0	4.458478	3.335857
HaLaN_08595	0	0	12.369771	19.70615
HaLaN_08598	0	0	3.907127	7.059477
HaLaN_08606	0	0	48.281517	84.996841
HaLaN_08613	0	0	33.342388	34.052418
HaLaN_08614	0	0	5.54599	8.931574
HaLaN_08616	0	0	1.541952	1.411663
HaLaN_08618	590.575989	798.351562	288.255249	206.455826
HaLaN_08620	0	0	12.699284	25.516968
HaLaN_08622	0	0	9.021837	13.323618
HaLaN_08626	0	0	0.46407	1.816721
HaLaN_08627	0	0	1.056591	1.982718
HaLaN_08628	347.957001	398.953979	302.99527	322.517975
HaLaN_08636	0	0	7.776478	12.502604
HaLaN_08643	0	0	20.918934	26.86338
HaLaN_08644	133.447128	156.688156	97.900749	80.576881
HaLaN_08646	0	0	21.060617	44.174042
HaLaN_08647	0	0	11.339763	12.838245
HaLaN_08649	88.238831	83.465515	47.189636	51.243832
HaLaN_08650	0	0	16.975807	21.939157
HaLaN_08663	0	0	8.724125	5.206336
HaLaN_08665	0	0	19.571732	24.678434
HaLaN_08666	0	0	3.758294	5.69556
HaLaN_08667	270.303894	309.767731	517.879517	490.485931
HaLaN_08669	0	0	6.112338	4.417139
HaLaN_08670	0	0	60.937901	33.152641
HaLaN_08674	0	0	21.610371	16.556963
HaLaN_08678	0	0	2.772096	8.760167
HaLaN_08680	0	0	5.301283	15.829773
HaLaN_08681	0	0	18.031925	22.167028
HaLaN_08686	0	0	59.604836	46.875195
HaLaN_08689	88.91153	88.277596	2.831388	11.439816
HaLaN_08694	0	0	7.198471	5.294858
HaLaN_08695	0	0	12.314027	17.513279
HaLaN_08712	0	0	7.406898	3.54853
HaLaN_08713	0	0	6.081466	2.311712
HaLaN_08720	0	0	6.74642	12.55624
HaLaN_08728	0	0	22.573895	42.700623
HaLaN_08729	24.396505	50.160595	26.037539	29.664671
HaLaN_08730	24.312195	164.023499	87.655426	127.338333
HaLaN_08731	0	0	1.303612	4.454195
HaLaN_08744	0	0	79.88929	71.7388
HaLaN_08745	0	0	19.607782	25.629992
HaLaN_08751	107.816078	139.041519	75.39418	62.361855
HaLaN_08752	287.365906	322.327942	189.511093	153.980438
HaLaN_08755	704.108398	718.098511	214.43782	243.095978
HaLaN_08759	0	0	5.015234	13.99562
HaLaN_08763	0	0	6.617215	12.081362
HaLaN_08771	8162.832031	7973.67041	8269.211914	8734.322266
HaLaN_08775	0	0	2.106816	5.792862
HaLaN_08795	302.319763	336.86264	254.826675	262.585907
HaLaN_08798	0	0	2.501005	3.262864
HaLaN_08799	0	0	3.219115	4.342459
HaLaN_08804	0	0	10.236693	12.392048
HaLaN_08805	0	0	25.106386	24.959
HaLaN_08806	56.186977	83.553879	30.86348	35.699734
HaLaN_08807	0	0	13.142067	12.453733
HaLaN_08810	0	0	22.127169	12.474969
HaLaN_08812	0	0	46.074059	28.533541
HaLaN_08813	0	0	28.087999	17.972246
HaLaN_08821	188.615433	63.323158	20.243357	17.047503
HaLaN_08836	131.544144	270.704254	82.624886	82.622604
HaLaN_08837	0	0	43.742527	25.243816
HaLaN_08838	144.528931	83.845215	71.166412	41.771645
HaLaN_08847	0	0	1.977252	4.434029
HaLaN_08849	240.933609	272.370819	12.559784	4.055633
HaLaN_08853	0	0	37.058147	27.806677
HaLaN_08859	59.774723	121.279915	27.126331	19.559738
HaLaN_08862	0	0	40.628605	31.024832
HaLaN_08864	0	0	18.617273	10.522429
HaLaN_08865	0	0	4.5611	3.367166
HaLaN_08870	0	0	26.440536	27.034582
HaLaN_08874	0	0	91.322235	46.646015
HaLaN_08875	0	0	14.686536	9.733518
HaLaN_08879	0	0	13.561725	9.16726
HaLaN_08881	2525.965576	2118.644043	1860.075195	1673.839478
HaLaN_08882	717.166382	615.86084	522.227417	517.713989
HaLaN_08884	1044.930542	1016.879822	768.50708	734.669189
HaLaN_08886	136.102631	147.358383	108.471947	112.661377
HaLaN_08887	0	0	6.336492	5.53439
HaLaN_08890	0	0	110.895264	117.559471
HaLaN_08891	0	0	9.274158	19.599264
HaLaN_08892	125.617111	99.957466	169.279526	183.810806
HaLaN_08893	0	0	31.072483	29.474564
HaLaN_08906	128.157074	46.905262	32.019432	36.771214
HaLaN_08909	0	0	62.687626	47.226528
HaLaN_08910	0	0	4.553779	7.007587
HaLaN_08911	115.731102	126.672562	47.315758	35.052074
HaLaN_08912	0	0	61.823948	66.854012
HaLaN_08913	75.331238	83.338684	116.258598	131.95697
HaLaN_08914	295.671906	334.991638	74.127464	103.201729
HaLaN_08915	0	0	11.678897	10.338387
HaLaN_08917	0	0	3.282558	2.257775
HaLaN_08918	0	0	6.909157	5.864774
HaLaN_08922	0	0	8.529273	9.469755
HaLaN_08925	0	0	28.069565	16.277479
HaLaN_08928	0	0	33.22945	25.727024
HaLaN_08930	0	0	4.962359	4.074879
HaLaN_08935	128.756897	143.484818	70.699028	90.829956
HaLaN_08948	0	0	7.307041	7.502796
HaLaN_08949	0	0	7.122741	8.112052
HaLaN_08951	0	0	31.163176	42.895615
HaLaN_08953	212.166565	350.090088	46.747101	56.759251
HaLaN_08955	142.835129	206.298965	101.513283	85.532234
HaLaN_08957	0	0	18.157076	20.703796
HaLaN_08960	0	0	9.493719	18.218328
HaLaN_08961	0	0	24.657537	32.757713
HaLaN_08963	0	0	44.134575	31.45108
HaLaN_08966	0	0	68.920898	51.877361
HaLaN_08968	0	0	25.871922	28.813309
HaLaN_08969	0	0	28.603336	23.171499
HaLaN_08974	0	0	12.843969	20.215612
HaLaN_08984	36.579121	10.894882	67.048454	65.71389
HaLaN_08985	0	0	13.202368	81.605125
HaLaN_08986	0	0	16.301401	14.395071
HaLaN_08988	0	0	21.411146	14.400558
HaLaN_08989	0	0	8.480573	11.713996
HaLaN_08994	0	0	26.562805	46.421982
HaLaN_08996	60.538391	40.21801	30.699217	50.383461
HaLaN_08997	0	0	107.925346	76.419708
HaLaN_08999	0	0	22.733101	20.900026
HaLaN_09001	0	0	96.408829	99.71772
HaLaN_09002	0	0	20.050421	26.576523
HaLaN_09003	0	0	5.185077	29.285109
HaLaN_09009	0	0	7.944376	6.246883
HaLaN_09015	0	0	102.059837	104.023621
HaLaN_09016	0	0	2.952851	3.830354
HaLaN_09019	0	0	6.760053	6.928719
HaLaN_09020	3017.761963	2562.649414	747.478699	652.718262
HaLaN_09029	0	0	13.807826	22.192423
HaLaN_09030	0	0	8.392424	7.949034
HaLaN_09031	498.739563	553.865784	638.267944	687.620056
HaLaN_09036	36.272289	76.366943	50.21159	82.190712
HaLaN_09044	0	0	10.499396	7.681095
HaLaN_09047	58.468208	45.673767	45.805672	45.576302
HaLaN_09051	0	0	11.399611	15.376709
HaLaN_09056	0	0	28.847475	37.149597
HaLaN_09058	0	0	23.674849	20.103022
HaLaN_09061	0	0	45.554497	42.487206
HaLaN_09063	0	0	108.15136	103.962479
HaLaN_09066	0	0	79.215881	69.526001
HaLaN_09067	0	0	75.577263	40.461487
HaLaN_09070	0	0	20.935236	15.327556
HaLaN_09071	0	0	70.98838	43.028706
HaLaN_09072	0	0	3.701007	8.254025
HaLaN_09079	0	0	57.281624	75.710556
HaLaN_09086	0	0	82.143463	98.195236
HaLaN_09097	0	0	22.594986	25.801311
HaLaN_09113	0	0	12.301325	23.334602
HaLaN_09114	12.079165	6.642957	24.631828	37.038155
HaLaN_09124	0	0	9.191307	9.585305
HaLaN_09133	0	0	25.670082	23.697668
HaLaN_09137	0	0	3.306972	9.267775
HaLaN_09138	0	0	79.114159	102.453583
HaLaN_09139	0	0	36.138859	39.089008
HaLaN_09147	0	0	4.67487	45.469437
HaLaN_09149	51.231056	97.708923	65.307632	59.603039
HaLaN_09153	0	0	16.492359	31.389784
HaLaN_09154	0	0	28.206888	34.207653
HaLaN_09157	0	0	6.115442	10.035312
HaLaN_09159	0	0	5.12861	18.139332
HaLaN_09160	47.092949	113.96946	46.733768	43.991066
HaLaN_09161	0	0	7.649483	7.495059
HaLaN_09167	1322.884521	1299.109131	1981.684937	1643.043457
HaLaN_09168	0	0	4.719195	5.995715
HaLaN_09185	144.711517	89.125992	208.584869	190.097794
HaLaN_09189	0	0	1.587367	5.904451
HaLaN_09196	493.783661	380.718719	383.699432	383.430054
HaLaN_09198	0	0	29.769323	33.078754
HaLaN_09217	3776.789062	4468.567871	37.262283	21.532927
HaLaN_09219	89.955162	111.727585	81.364265	82.962822
HaLaN_09221	425.293304	851.758118	0	0
HaLaN_09223	0	0	20.16465	19.851372
HaLaN_09224	65.12471	34.361832	18.122059	27.108978
HaLaN_09225	564.821106	513.398804	722.120056	563.253601
HaLaN_09229	0	0	2.178957	1.503201
HaLaN_09231	0	0	10.482176	11.07375
HaLaN_09233	280.268341	219.81575	174.86351	207.061646
HaLaN_09234	17.648149	15.793076	13.537434	10.084126
HaLaN_09237	140.821594	249.536606	136.605469	109.575829
HaLaN_09238	110.053772	228.022385	119.938255	111.030205
HaLaN_09239	0	0	10.629641	13.604323
HaLaN_09243	123.277023	43.238323	88.241478	113.544868
HaLaN_09244	484.727936	403.388824	183.118973	115.312241
HaLaN_09249	0	0	10.759315	7.91248
HaLaN_09250	0	0	11.945737	6.652724
HaLaN_09252	262.794159	266.42395	257.549011	235.107056
HaLaN_09253	89.843307	104.517632	155.541794	161.958572
HaLaN_09255	0	0	11.675033	26.114746
HaLaN_09264	0	0	32.117252	32.054249
HaLaN_09265	0	0	30.567759	35.877563
HaLaN_09268	0	0	24.041365	24.576508
HaLaN_09269	0	0	8.407236	9.13375
HaLaN_09272	0	0	7.746916	7.094313
HaLaN_09274	0	0	4.627257	5.666695
HaLaN_09275	0	0	2.011836	3.1908
HaLaN_09276	0	0	3.355841	7.077403
HaLaN_09286	170.287231	0.972421	35.339767	66.910088
HaLaN_09288	775.130981	877.016357	747.198914	862.002441
HaLaN_09297	0	0	23.130751	11.827767
HaLaN_09304	0	0	7.873441	26.304884
HaLaN_09305	0	0	34.708229	31.185806
HaLaN_09308	0	0	34.986767	42.644188
HaLaN_09310	0	0	2.597726	4.983402
HaLaN_09311	0	0	15.825654	13.910899
HaLaN_09314	0	0	11.678226	23.984598
HaLaN_09318	774.298096	892.341248	683.392944	705.655701
HaLaN_09321	0	0	4.4296	7.180954
HaLaN_09325	0	0	40.05349	27.454544
HaLaN_09329	0	0	45.408283	38.009388
HaLaN_09333	279.491821	221.809601	237.748413	260.623352
HaLaN_09336	0	0	6.064207	5.580658
HaLaN_09345	0	0	12.914474	27.663063
HaLaN_09373	0	0	18.638124	18.638655
HaLaN_09375	0	0	26.070215	18.972757
HaLaN_09378	0	0	8.22584	4.54231
HaLaN_09379	0	0	7.942223	12.517835
HaLaN_09380	0	0	14.009742	27.888065
HaLaN_09384	0	0	46.080936	42.070923
HaLaN_09387	29.609409	39.785912	28.389971	16.920578
HaLaN_09388	1054.676636	1266.332886	2036.262207	3328.531738
HaLaN_09398	0	0	39.267399	65.550217
HaLaN_09399	0	0	14.201371	6.286757
HaLaN_09410	402.650787	511.783722	176.850433	132.356552
HaLaN_09411	61.526047	82.22612	56.862759	44.812885
HaLaN_09417	0	0	4.210758	3.298582
HaLaN_09419	1813.032349	931.611816	372.459442	300.619965
HaLaN_09420	1116.651367	763.588745	273.566284	243.258163
HaLaN_09421	0	0	81.130562	77.034721
HaLaN_09423	0	0	2.241895	2.404508
HaLaN_09428	0	0	12.76384	21.259628
HaLaN_09429	0	0	17.181116	20.190878
HaLaN_09431	0	0	29.098061	30.090517
HaLaN_09432	0	0	23.25242	18.128677
HaLaN_09433	0	0	22.575529	27.311113
HaLaN_09434	0	0	16.291933	10.661798
HaLaN_09435	368.509766	327.145386	399.735779	446.548737
HaLaN_09436	0	0	27.319288	33.24334
HaLaN_09437	0	0	3.588382	10.408118
HaLaN_09438	0	0	31.361153	39.006176
HaLaN_09459	3318.151367	3624.899658	9795.34082	9960.223633
HaLaN_09460	0	0	4.309119	8.526335
HaLaN_09462	0	0	9.465859	8.981641
HaLaN_09468	0	0	79.681862	125.51548
HaLaN_09471	0	0	8.659144	4.874171
HaLaN_09474	0	0	16.448814	20.12941
HaLaN_09480	0	0	16.390812	17.575817
HaLaN_09482	72.330345	87.106346	27.651752	36.049847
HaLaN_09492	329.258545	477.92218	657.131348	623.275574
HaLaN_09498	0	0	10.139442	19.430073
HaLaN_09499	0	0	6.736182	4.877979
HaLaN_09500	0	0	9.877951	10.057556
HaLaN_09507	0	0	18.619926	10.757114
HaLaN_09520	0	0	41.101936	20.498688
HaLaN_09521	0	0	17.454006	8.643072
HaLaN_09522	0	0	80.892464	78.647758
HaLaN_09528	0	0	4.798288	9.248878
HaLaN_09529	0	0	70.068367	59.976353
HaLaN_09532	0	0	13.971501	7.747818
HaLaN_09533	142.617401	250.643799	148.184418	135.737961
HaLaN_09552	0	0	133.822754	156.14949
HaLaN_09564	0	0	21.987989	22.93852
HaLaN_09566	1969.580078	2109.164307	2631.878418	2682.435303
HaLaN_09568	129.456955	138.693512	0	0
HaLaN_09578	31.90587	30.875038	18.856766	18.71903
HaLaN_09585	0	0	7.838675	25.729395
HaLaN_09586	0	0	15.061382	19.374889
HaLaN_09590	0	0	49.212334	30.10652
HaLaN_09591	0	0	8.369853	4.806551
HaLaN_09593	0	0	12.847197	11.895565
HaLaN_09598	0	0	15.277631	5.572438
HaLaN_09599	0	0	12.526929	13.407634
HaLaN_09604	0	0	29.406347	33.235027
HaLaN_09606	74.728249	92.015045	67.479286	80.401527
HaLaN_09614	0	0	68.056145	70.512802
HaLaN_09618	0	0	7.228192	19.183609
HaLaN_09619	0	0	43.185959	20.076818
HaLaN_09620	0	0	52.005566	37.619419
HaLaN_09622	269.105835	345.739166	771.658691	712.621277
HaLaN_09623	0	0	3.107425	4.876858
HaLaN_09632	148.486801	239.287613	160.5728	130.655746
HaLaN_09633	198.825729	172.147751	84.309532	111.393768
HaLaN_09644	0	0	70.338882	108.734283
HaLaN_09645	0	0	33.617687	44.894695
HaLaN_09649	0	0	13.854218	12.933163
HaLaN_09653	0	0	4.360828	4.538096
HaLaN_09660	99.377037	43.512859	124.687675	98.589294
HaLaN_09667	0	0	6.957648	9.500855
HaLaN_09668	55.445587	55.288624	31.076553	23.381531
HaLaN_09672	0	0	14.836557	19.106537
HaLaN_09681	207.52861	164.36351	306.430389	198.555496
HaLaN_09684	0	0	21.995955	17.539297
HaLaN_09686	3495.73584	2108.530762	3680.812988	3915.178223
HaLaN_09687	1344.671997	1503.837891	3207.20166	2797.406006
HaLaN_09700	0	0	19.152895	23.226957
HaLaN_09701	0	0	55.588718	58.384392
HaLaN_09702	1596.603394	1712.447266	425.410431	447.903381
HaLaN_09703	82.682793	70.778046	55.443329	51.023663
HaLaN_09708	0	0	1207.799316	1213.034424
HaLaN_09709	0	0	10.266999	6.494081
HaLaN_09718	0	0	20.077997	12.508447
HaLaN_09722	685.201477	651.010681	797.545288	800.549438
HaLaN_09726	49.444641	83.798042	34.94614	43.648369
HaLaN_09727	125.455757	16.686092	29.69857	27.496477
HaLaN_09728	0	0	2.874064	5.763655
HaLaN_09729	0	0	3.682504	4.924128
HaLaN_09733	0	0	22.309488	18.05002
HaLaN_09744	5379.066406	4990.498535	62.651779	49.103573
HaLaN_09746	0	0	22.578527	18.212006
HaLaN_09750	0	0	50.322048	61.139938
HaLaN_09751	0	0	130.504868	95.906891
HaLaN_09753	125.463539	77.498581	48.781364	49.02177
HaLaN_09755	0	0	2.588612	9.177317
HaLaN_09756	0	0	27.052361	51.225231
HaLaN_09757	0	0	40.667603	27.768227
HaLaN_09760	0	0	84.843323	55.800255
HaLaN_09767	0	0	14.950324	11.500528
HaLaN_09768	11316.43457	11690.359375	34534.625	35253.839844
HaLaN_09769	181.742752	150.985367	160.448578	137.058472
HaLaN_09770	63.129784	105.333267	85.908539	73.157127
HaLaN_09772	0	0	81.296974	55.994278
HaLaN_09783	83.795525	90.579948	26.567926	22.309809
HaLaN_09784	0	0	71.363724	59.182411
HaLaN_09785	0	0	6.705205	3.74366
HaLaN_09786	0	0	7.643304	6.596114
HaLaN_09788	0	0	12.988274	23.603783
HaLaN_09790	0	0	49.554455	35.425953
HaLaN_09797	208.250412	155.346451	128.103867	117.026138
HaLaN_09809	0	0	15.169658	25.071604
HaLaN_09811	0	0	17.56675	19.220114
HaLaN_09812	0	0	7.65426	13.682867
HaLaN_09815	0	0	10.173201	5.416131
HaLaN_09821	0	0	36.368427	37.647018
HaLaN_09824	0	0	11.594726	16.99906
HaLaN_09828	0	0	25.99942	42.814026
HaLaN_09845	0	0	28.537153	19.346924
HaLaN_09850	67.002991	50.303875	18.884554	16.854357
HaLaN_09857	0	0	7.539352	3.040058
HaLaN_09859	0	0	10.032022	17.21579
HaLaN_09861	0	0	90.962914	79.477341
HaLaN_09862	0	0	8.208002	11.724557
HaLaN_09869	0	0	1.777051	2.008645
HaLaN_09871	0	0	5.161375	6.55412
HaLaN_09872	0	0	16.968878	24.180756
HaLaN_09873	25.567911	48.532448	50.186161	50.193432
HaLaN_09874	0	0	18.5292	20.988302
HaLaN_09879	38.724098	18.506834	20.039881	15.448113
HaLaN_09880	133.241577	122.899879	70.951836	53.360081
HaLaN_09882	363.088501	276.999451	157.627151	148.783142
HaLaN_09886	0	0	61.53973	58.721973
HaLaN_09887	0	0	3.475123	4.494757
HaLaN_09895	28.977287	62.709217	90.338921	103.591873
HaLaN_09896	0	0	8.831666	6.949353
HaLaN_09899	12.18958	37.623394	14.795278	13.273358
HaLaN_09909	52.29203	43.012394	67.849075	64.506943
HaLaN_09911	0	0	167.55777	150.731033
HaLaN_09915	0	0	52.901562	28.388399
HaLaN_09923	0	0	5.677861	12.465802
HaLaN_09925	0	0	7.634562	32.093945
HaLaN_09926	0	0	4.788639	3.723456
HaLaN_09928	0	0	25.699694	25.682415
HaLaN_09930	0	0	7.79921	10.212395
HaLaN_09931	0	0	18.875496	15.917977
HaLaN_09932	0	0	8.338929	7.848129
HaLaN_09956	155.70105	127.078247	135.974564	130.630768
HaLaN_09969	0	0	18.650349	18.650118
HaLaN_09975	0	0	9.377319	10.274268
HaLaN_09976	221.092438	100.730019	140.428055	137.350769
HaLaN_09978	0	0	20.328711	17.71031
HaLaN_09979	0	0	12.367733	9.231143
HaLaN_09980	0	0	12.829911	8.572395
HaLaN_09984	0	0	27.232233	26.726965
HaLaN_09989	53.192677	54.584118	41.904968	46.87175
HaLaN_09991	0	0	10.325382	15.221555
HaLaN_09994	106.450546	102.772682	66.748154	66.904572
HaLaN_09998	26.719904	41.982483	49.072548	21.520203
HaLaN_10003	0	0	34.022083	46.69482
HaLaN_10007	1971.476562	1581.972778	982.872681	731.457031
HaLaN_10008	276.570618	337.99823	241.497452	179.296707
HaLaN_10010	107.815155	75.257904	125.24321	111.048973
HaLaN_10011	0	0	40.77446	69.87561
HaLaN_10018	0	0	20.472687	19.208973
HaLaN_10022	0	0	25.252798	23.757175
HaLaN_10024	0	0	10.485435	11.336377
HaLaN_10029	0	0	203.473267	158.169678
HaLaN_10031	0	0	21.542736	23.722622
HaLaN_10032	0	0	65.364052	74.697685
HaLaN_10035	0	0	34.259846	36.705498
HaLaN_10037	1150.780151	969.172729	2922.510742	3252.532959
HaLaN_10041	480.704254	467.835388	603.011475	543.543945
HaLaN_10042	0	0	16.866943	31.398357
HaLaN_10047	0	0	13.03637	9.803491
HaLaN_10048	0	0	6.201954	9.074552
HaLaN_10060	0	0	10.653997	19.390194
HaLaN_10061	0	0	4.625253	10.284275
HaLaN_10064	0	0	5.771535	8.604321
HaLaN_10066	0	0	3.810653	26.314066
HaLaN_10067	0	0	6.703626	13.840436
HaLaN_10068	0	0	19.262648	43.601978
HaLaN_10071	0	0	5.967477	2.081316
HaLaN_10074	0	0	13.860319	16.610558
HaLaN_10076	0	0	13.231693	16.989143
HaLaN_10077	0	0	66.70874	72.125633
HaLaN_10078	0	0	21.99725	17.687878
HaLaN_10082	62.516617	36.52523	19.510763	24.571535
HaLaN_10083	0	0	4.422494	6.573326
HaLaN_10094	0	0	8.028735	7.979808
HaLaN_10096	0	0	20.840178	24.86388
HaLaN_10097	0	0	237.132263	280.549103
HaLaN_10099	0	0	11.072613	8.437013
HaLaN_10104	0	0	39.429672	40.062195
HaLaN_10105	0	0	6.179819	7.814363
HaLaN_10106	0	0	33.714069	57.876156
HaLaN_10116	65.989151	35.718807	17.160185	9.568851
HaLaN_10120	0	0	24.735369	20.930223
HaLaN_10131	0	0	9.146996	7.954155
HaLaN_10133	0	0	308.515717	286.973236
HaLaN_10134	0	0	307.100311	255.404221
HaLaN_10135	0	0	430.940033	442.471863
HaLaN_10143	0	0	8.148656	6.186512
HaLaN_10145	83.72126	57.105671	84.264305	68.96244
HaLaN_10146	154.491501	82.906563	133.995163	133.942307
HaLaN_10148	0	0	33.999157	33.478947
HaLaN_10150	0	0	25.194647	26.43182
HaLaN_10153	0	0	10.886578	11.071377
HaLaN_10156	0	0	18.146563	18.818138
HaLaN_10157	0	0	4.701639	12.8826
HaLaN_10158	0	0	29.620001	28.622629
HaLaN_10159	0	0	20.718334	20.843782
HaLaN_10162	380.124573	156.479462	157.707108	121.529305
HaLaN_10163	201.792404	203.306595	117.282837	123.116798
HaLaN_10165	0	0	11.377891	8.05947
HaLaN_10167	0	0	45.736122	40.981285
HaLaN_10168	0	0	9.006143	4.49525
HaLaN_10172	535.790955	543.953735	643.756592	622.956543
HaLaN_10177	0	0	6.891204	18.630711
HaLaN_10179	0	0	3.978621	5.773747
HaLaN_10183	0	0	7.511405	5.667787
HaLaN_10189	0	0	8.847848	16.133492
HaLaN_10192	0	0	3.235537	2.296399
HaLaN_10193	0	0	14.917907	14.864706
HaLaN_10194	0	0	17.596312	19.090092
HaLaN_10202	493.235931	488.896545	382.718536	339.282043
HaLaN_10203	128.887207	79.063141	92.590805	87.517456
HaLaN_10211	0	0	18.898722	17.194248
HaLaN_10213	0	0	18.409658	10.516431
HaLaN_10214	0	0	7.434377	22.557987
HaLaN_10219	1664.022339	924.235657	892.183044	809.593201
HaLaN_10226	3.704544	70.819946	51.885674	59.887341
HaLaN_10230	0	0	29.282177	23.047029
HaLaN_10232	0	0	22.487963	42.43615
HaLaN_10233	0	0	6.401774	7.462366
HaLaN_10236	0	0	1.846049	5.713486
HaLaN_10238	539.384338	839.104309	258.027954	208.767197
HaLaN_10239	792.710388	1050.314209	362.204224	224.873199
HaLaN_10240	0	0	138.53241	115.352066
HaLaN_10241	0	0	40.286404	7.872601
HaLaN_10242	0	0	5.85585	4.774843
HaLaN_10250	721.966248	757.209839	571.231995	584.623962
HaLaN_10252	0	0	26.782925	25.48674
HaLaN_10254	0	0	2.59647	4.927594
HaLaN_10255	0	0	15.041824	16.854107
HaLaN_10269	0	0	16.359777	15.681992
HaLaN_10270	0	0	33.118622	16.456438
HaLaN_10271	1102.428101	1156.520142	1143.398193	1090.233032
HaLaN_10275	0	0	128.096924	99.566689
HaLaN_10276	154.213425	179.752853	92.721016	88.622231
HaLaN_10286	0	0	26.212364	32.658272
HaLaN_10288	59.156296	20.755623	210.483017	170.954102
HaLaN_10295	0	0	2.090157	3.020885
HaLaN_10296	0	0	26.236916	26.366209
HaLaN_10304	0	0	32.875584	35.955441
HaLaN_10311	0	0	7.0303	17.31358
HaLaN_10322	0	0	7.474793	8.176156
HaLaN_10324	0	0	123.706375	102.178123
HaLaN_10335	0	0	32.370319	32.842293
HaLaN_10337	0	0	4.679222	11.838174
HaLaN_10339	0	0	26.919146	30.539829
HaLaN_10344	430.14035	721.482849	354.551788	258.751007
HaLaN_10345	770.716248	838.519653	1599.073608	1777.524902
HaLaN_10346	0	0	18.291691	15.425656
HaLaN_10347	0	0	61.00671	62.145954
HaLaN_10351	0	0	16.277441	46.165668
HaLaN_10353	760.566528	592.04071	543.983826	334.089355
HaLaN_10357	0	0	10.606369	4.052736
HaLaN_10365	0	0	3.427844	13.302473
HaLaN_10374	0	0	3.061418	8.222506
HaLaN_10384	0	0	7.971114	4.801153
HaLaN_10392	0	0	18.45052	9.529856
HaLaN_10395	0	0	10.605776	6.047546
HaLaN_10399	0	0	206.681137	184.677917
HaLaN_10401	15.772922	44.423676	46.116222	40.768219
HaLaN_10402	669.626221	791.964233	185.090698	168.633209
HaLaN_10403	0	0	21.634369	15.832702
HaLaN_10407	70.825264	82.942162	54.435654	48.326729
HaLaN_10409	0	0	7.678145	2.998976
HaLaN_10413	0	0	13.900495	16.154501
HaLaN_10414	0	0	11.45428	20.682772
HaLaN_10415	0	0	22.215208	29.561831
HaLaN_10418	0	0	2.367242	4.579745
HaLaN_10437	0	0	16.62314	16.335384
HaLaN_10443	0	0	289.807343	227.582077
HaLaN_10446	0	0	221.030167	132.824936
HaLaN_10454	1656.143311	1760.888794	1873.349121	2534.935791
HaLaN_10456	0	0	25.508507	25.021027
HaLaN_10459	1013.040039	896.893494	577.406433	723.784851
HaLaN_10461	1109.819214	1093.392334	59.140934	43.423416
HaLaN_10470	0	0	26.524969	23.010645
HaLaN_10484	0	0	65.422173	38.455139
HaLaN_10487	0	0	1.919285	5.940515
HaLaN_10496	0	0	4.199478	3.704213
