Gene	NO3_2mM_1	NO3_2mM_2	NO3_15mM_1	NO3_15mM_2
HaLaN_00150	0	0	25.432156	15.339044
HaLaN_00151	0	0	11.606237	23.261221
HaLaN_00152	153.102921	144.580536	86.907661	85.907219
HaLaN_00153	0	0	1.191703	0
HaLaN_00154	0	0	2.651279	0
HaLaN_00155	0	26.762573	8.197109	9.021528
HaLaN_00156	280.997925	256.540314	249.815033	243.971756
HaLaN_00157	0	0	23.551006	0
HaLaN_00158	0	0	3.953702	0
HaLaN_00161	127.379448	106.272758	41.13781	62.479923
HaLaN_00162	113.491241	68.789726	32.742699	46.901657
HaLaN_00163	0	18.052406	19.359636	25.111555
HaLaN_00164	169.965775	377.255463	44.546272	52.18277
HaLaN_00165	0	0	73.300941	59.279327
HaLaN_00166	0	23.402102	34.695187	37.152214
HaLaN_00167	0	0	6.741868	7.574904
HaLaN_00168	0	0	0	3.433556
HaLaN_00169	0	0	7.170289	7.085491
HaLaN_00171	0	0	7.609322	4.261412
HaLaN_00172	0	0	9.509344	11.888799
HaLaN_00175	0	0	7.276789	10.851195
HaLaN_00176	0	0	3.311864	0
HaLaN_00177	0	0	7.110286	0
HaLaN_00178	144.604324	175.532181	20.155066	24.041059
HaLaN_00182	0	0	2.767537	0.622711
HaLaN_00188	378.308319	396.40036	507.10556	474.117371
HaLaN_00189	0	0	2.692039	8.929013
HaLaN_00196	0	59.781269	19.643192	7.284835
HaLaN_00197	63.774647	247.279938	442.779846	461.777466
HaLaN_00201	0	0	8.316496	6.130783
HaLaN_00206	0	0	15.042782	18.268373
HaLaN_00209	128.648804	122.901093	94.047623	64.30674
HaLaN_00210	0	0	24.06357	21.548042
HaLaN_00211	204.849548	133.873489	148.271957	136.710876
HaLaN_00213	0	0	22.05801	44.635136
HaLaN_00214	0	78.127396	116.25132	140.231674
HaLaN_00216	0	0	0	2.987722
HaLaN_00217	0	0	12.803089	13.00193
HaLaN_00220	0	0	325.862366	312.536804
HaLaN_00221	0	0	42.415504	49.223232
HaLaN_00222	108.135353	85.605797	7.253775	7.799034
HaLaN_00223	176.19754	158.089539	0	0
HaLaN_00224	58.561459	0	8.289883	12.20775
HaLaN_00225	111.075386	0	34.555763	42.890755
HaLaN_00226	146.838379	111.431198	141.904373	167.67453
HaLaN_00227	0	0	42.143234	31.175297
HaLaN_00231	239.738464	147.289352	67.189095	50.059715
HaLaN_00237	0	0	1.467275	0
HaLaN_00239	349.309479	329.230774	16.404112	8.735504
HaLaN_00241	0	0	21.859148	15.253317
HaLaN_00244	0	0	0.446456	6.781917
HaLaN_00247	6759.060059	7174.976074	7205.076172	6808.736816
HaLaN_00249	0	0	5.30592	0
HaLaN_00250	0	0	9.203249	7.856617
HaLaN_00251	0	7.634815	0	0
HaLaN_00252	728.618286	600.806213	614.039551	572.002747
HaLaN_00253	0	0	3.772048	0
HaLaN_00254	0	0	8.666395	7.581178
