Gene	NO3_2mM_1	NO3_2mM_2	NO3_15mM_1	NO3_15mM_2
HaLaN_07149	0	0	7.38598	4.32
HaLaN_07152	0	0	3.93006	3.357407
HaLaN_07153	0	0	13.626771	0
HaLaN_07154	0	20.34457	44.814362	27.90218
HaLaN_07155	0	35.478539	14.459461	18.775253
HaLaN_07158	0	0	0.90498	0
HaLaN_07159	0	0	6.341547	0
HaLaN_07160	0	101.618156	134.013748	100.692589
HaLaN_07168	0	0	6.283723	6.555964
HaLaN_07169	0	0	1.787821	0
HaLaN_07172	0	0	0	2.165198
HaLaN_07173	27.355751	50.708462	4.220159	0
HaLaN_07174	162.963394	154.645813	188.710434	164.722534
HaLaN_07175	126.875793	149.550552	56.306965	70.660156
HaLaN_07177	0	0	0	1.12652
HaLaN_07178	0	0	28.646639	0
HaLaN_07179	0	0	10.842295	9.114112
HaLaN_07181	0	57.866341	29.218565	41.307175
HaLaN_07182	0	0	2.947649	0
HaLaN_07186	0	0	0	6.205854
HaLaN_07188	0	0	0	7.094824
HaLaN_07192	184.778076	245.10527	116.526573	111.554535
HaLaN_07194	0	0	5.857266	4.716047
HaLaN_07199	688.411194	468.260803	165.806671	192.289444
HaLaN_07203	0	0	5.269569	0
HaLaN_07206	0	58.638287	25.425879	26.210867
HaLaN_07207	0	0	13.731884	14.283299
HaLaN_07210	0	0	46.556259	79.657204
HaLaN_07212	30.564991	6.927425	9.90175	6.290533
HaLaN_07216	63.731857	16.830309	12.739071	9.748889
HaLaN_07218	23.129675	0	35.824684	43.432083
HaLaN_07219	0	0	0	8.43228
HaLaN_07220	0	0	4.95496	11.617351
HaLaN_07224	0	0	27.142191	0
HaLaN_07236	0	0	10.111354	0
HaLaN_07240	0	0	1.014415	0
HaLaN_07242	0	0	5.888583	5.317118
HaLaN_07243	0	0	21.379301	10.693258
HaLaN_07244	0	0	64.670677	48.926517
HaLaN_07245	0	0	3.144159	0
HaLaN_07247	208.8302	448.825378	256.835968	267.457611
HaLaN_07249	0	0	59.913471	26.905191
HaLaN_07262	0	0	7.572111	14.955464
HaLaN_07264	322.547272	0	392.705109	374.23291
HaLaN_07265	199.686996	0	208.938568	204.353378
HaLaN_07273	0	0	0	1.937909
HaLaN_07274	0	0	7.124076	5.996498
HaLaN_07281	0	0	3.847207	0.948773
HaLaN_07290	0	0	3.991575	0
HaLaN_07294	0	0	4.734226	2.144197
HaLaN_07296	0	0	4.913775	0
HaLaN_07297	2277.044189	2540.801514	3864.533447	3848.324707
HaLaN_07304	271.185883	228.290207	226.776566	199.669724
HaLaN_07305	178.670517	157.263245	173.533096	159.077271
HaLaN_07306	0	0	1.602914	3.291089
HaLaN_07310	0	0	0.860234	0.580703
HaLaN_07311	0	0	9.333754	0
HaLaN_07316	0	0	6.217746	0
HaLaN_07317	0	8.03869	7.468309	7.224433
HaLaN_07319	0	0	56.558151	52.365181
HaLaN_07320	0	0	0.279304	0
HaLaN_07322	0	5.675088	10.002119	22.399572
HaLaN_07324	0	0	16.588699	0
HaLaN_07325	0	0	21.611887	33.897194
HaLaN_07326	110.508972	0	27.497608	8.682917
HaLaN_07328	0	0	11.193998	16.755743
HaLaN_07331	0	51.367508	15.270602	17.703985
HaLaN_07334	0	0	7.770764	2.257635
HaLaN_07338	16.082972	0	1.382907	2.322644
HaLaN_07341	493.891541	398.68457	256.360168	307.575409
HaLaN_07344	0	0	0	13.331972
HaLaN_07346	0	0	3.713911	3.857104
HaLaN_07347	0	0	3.34008	0
HaLaN_07356	0	0	0	8.060997
HaLaN_07357	0	0	5.200478	0
HaLaN_07359	0	0	0	13.004433
HaLaN_07362	0	0	10.369917	0
HaLaN_07365	0	0	15.383349	5.906184
HaLaN_07367	0	0	17.589666	21.23741
HaLaN_07380	0	0	1.83977	6.495952
HaLaN_07382	0	0	2.796147	5.533237
HaLaN_07383	0	0	0	3.565047
HaLaN_07385	0	0	8.433203	5.074006
HaLaN_07387	93.758911	0	94.528732	130.463455
HaLaN_07389	0	0	12.441137	13.271488
HaLaN_07390	0	0	20.169331	21.117626
HaLaN_07391	0	59.95245	42.886578	44.892578
HaLaN_07392	18.333277	52.464302	38.232376	52.140003
HaLaN_07394	0	0	31.664042	29.833475
HaLaN_07396	0	0	3.830052	0
HaLaN_07400	1563.685913	1618.457764	1680.976685	1718.650513
HaLaN_07401	0	0	7.365751	13.246932
HaLaN_07402	0	0	1.258728	1.589848
HaLaN_07403	0	0	8.09338	24.163033
HaLaN_07406	0	0	0	3.239223
HaLaN_07407	0	0	2.588015	0
HaLaN_07408	0	23.403128	0	0
HaLaN_07410	19.643671	0	2.462731	4.478057
HaLaN_07411	7.222029	0	2.117747	3.152994
HaLaN_07413	0	0	10.313716	10.532077
HaLaN_07414	0	0	2.941568	11.346915
HaLaN_07415	0	0	6.657556	0
HaLaN_07419	317.005249	312.570099	304.688904	253.380569
HaLaN_07421	0	0	16.68701	18.236233
HaLaN_07422	0	0	0	13.167704
HaLaN_07423	67.833817	25.99411	61.837406	39.811939
HaLaN_07424	0	0	14.12912	21.260054
HaLaN_07426	318.301178	427.297272	249.737564	230.396133
HaLaN_07431	0	0	9.832739	11.356932
HaLaN_07433	0	0	15.459657	11.028618
HaLaN_07434	0	0	46.503876	0
HaLaN_07436	392.630859	446.398529	220.065216	232.372971
HaLaN_07437	0	0	3.847389	3.879376
HaLaN_07438	0	14.380161	5.756059	7.434275
HaLaN_07440	0	0	1.845262	0
HaLaN_07442	0	0	15.907679	0
HaLaN_07443	0	0	102.148392	0
HaLaN_07453	0	0	12.494282	13.436785
HaLaN_07455	0	0	6.964831	0
HaLaN_07458	4109.559082	3161.670654	3286.631592	3028.554688
HaLaN_07461	0	0	10.513067	16.362635
HaLaN_07462	0	0	5.524905	0
HaLaN_07463	0	0	13.454455	13.774232
HaLaN_07465	0	0	12.533817	8.566634
HaLaN_07466	0	0	4.159059	9.406308
HaLaN_07467	0	0	16.10404	43.473434
HaLaN_07468	0	0	6.853598	23.26049
HaLaN_07471	0	0	418.280182	372.167786
HaLaN_07473	49.269493	75.843994	33.959438	32.991875
HaLaN_07474	0	0	34.587807	36.939182
HaLaN_07475	0	0	18.737219	35.484653
HaLaN_07477	0	0	6.353341	5.887341
HaLaN_07479	0	0	13.950723	9.350013
HaLaN_07482	0	0	0	10.784121
HaLaN_07485	0	0	93.934113	143.230835
HaLaN_07486	0	0	11.138125	13.652748
HaLaN_07489	0	0	0	0.311184
HaLaN_07491	0	0	1.581628	3.17008
HaLaN_07494	0	0	5.614498	4.599088
HaLaN_07496	0	0	0.790473	0.408875
HaLaN_07499	0	58.675968	22.071434	27.820614
HaLaN_07502	0	0	5.93667	4.336116
HaLaN_07503	0	0	2.756591	0
HaLaN_07504	0	0	9.804611	6.688022
HaLaN_07505	0	0	5.020663	0
HaLaN_07506	0	0	4.680916	7.743176
HaLaN_07508	0	0	16.129501	11.604279
HaLaN_07509	0	0	7.182341	3.025472
HaLaN_07510	0	0	13.537068	18.802074
HaLaN_07511	0	0	19.788246	0
HaLaN_07515	0	0	9.99098	14.032487
HaLaN_07516	0	0	11.001512	10.968138
HaLaN_07517	0	52.174187	22.165052	26.829573
HaLaN_07519	0	0	8.945227	0
HaLaN_07525	0	0	7.793893	0
HaLaN_07529	0	0	7.78249	0
HaLaN_07532	0	0	0	7.265376
HaLaN_07533	0	0	18.469351	17.129253
HaLaN_07534	0	0	6.809886	13.660817
HaLaN_07538	0	0	10.759517	0
HaLaN_07540	226.69046	0	0	0
HaLaN_07543	0	0	0	29.076056
HaLaN_07544	0	0	11.348452	28.461851
HaLaN_07551	0	0	14.908822	9.410749
HaLaN_07557	0	0	0	3.126407
HaLaN_07561	0	0	0.951818	0
HaLaN_07563	0	0	53.967094	72.101776
HaLaN_07564	0	0	7.684958	0
HaLaN_07567	271.911011	191.466888	266.192322	288.978424
HaLaN_07578	0	0	68.221504	65.850449
HaLaN_07579	0	34.558018	19.065397	30.113073
HaLaN_07580	0	0	92.709793	82.357735
HaLaN_07583	0	0	2.738729	5.98148
HaLaN_07586	0	39.703281	0	0
HaLaN_07587	18.501549	22.876606	13.069345	13.31164
HaLaN_07588	0	0	35.164806	14.899748
HaLaN_07595	0	0	19.520523	23.31053
HaLaN_07597	19.957384	0	29.157988	29.037624
HaLaN_07598	0	0	11.630096	15.507451
HaLaN_07600	0	71.230354	131.870911	157.996536
HaLaN_07602	0	0	0	0.731573
HaLaN_07604	0	0	4.181009	5.161805
HaLaN_07605	0	5.029384	12.162934	10.218124
HaLaN_07607	0	0	0.731087	3.764851
HaLaN_07608	0	0	5.855561	5.567801
HaLaN_07609	0	0	13.432087	22.243435
HaLaN_07612	0	0	7.619445	28.437658
HaLaN_07613	0	0	3.390659	0
HaLaN_07616	0	0	8.217333	5.333969
HaLaN_07622	0	21.156569	25.246515	11.284624
HaLaN_07624	0	74.484039	209.741745	173.674744
HaLaN_07626	0	0	62.837852	66.71727
HaLaN_07627	0	0	11.28381	20.127525
HaLaN_07629	0	0	8.509428	0
HaLaN_07630	0	0	3.845161	0
HaLaN_07634	0	0	5.212686	7.447459
HaLaN_07635	82.705368	0	13.586228	10.364232
HaLaN_07638	0	0	116.139725	98.484978
HaLaN_07641	0	0	296.762939	238.966751
HaLaN_07644	0	0	9.552747	12.717298
HaLaN_07646	0	0	87.6213	93.956131
HaLaN_07647	61.546776	0	46.479786	53.407398
HaLaN_07652	0	0	19.248207	26.648762
HaLaN_07654	8277.353516	6303.568359	222.516006	145.408401
HaLaN_07656	0	0	58.854198	55.237713
HaLaN_07657	1841.976074	1457.027344	362.346619	362.827026
HaLaN_07663	0	0	72.703247	54.053627
HaLaN_07667	0	0	25.458061	18.29439
HaLaN_07668	0	0	0.664362	0
HaLaN_07669	3.10193	0	0	0.985673
HaLaN_07672	0	0	3.549857	0
HaLaN_07674	6126.935547	5244.229004	15921.555664	17852.183594
HaLaN_07675	0	0	0	6.162494
HaLaN_07678	77.274742	0	33.974781	35.697083
HaLaN_07679	0	0	3.761787	11.963953
HaLaN_07680	0	0	2.360189	8.414084
HaLaN_07690	0	0	0	21.337397
HaLaN_07695	0	0	0.888526	0
HaLaN_07696	0	26.857222	63.719276	74.111549
HaLaN_07697	0	0	21.343052	17.182224
HaLaN_07700	0	0	18.477558	13.842622
HaLaN_07701	170.172516	0	0	0
HaLaN_07704	0	0	10.521505	0
HaLaN_07705	0	0	39.694981	33.465904
HaLaN_07708	0	0	0	10.46943
HaLaN_07709	0	0	12.321796	11.014173
HaLaN_07711	0	0	0	3.754357
HaLaN_07712	0	0	0	11.966311
HaLaN_07713	0	0	1.841256	6.411563
HaLaN_07715	0	0	9.138185	5.401893
HaLaN_07716	0	0	3.030577	9.169816
HaLaN_07717	0	0	45.70192	54.700108
HaLaN_07719	0	0	1.486004	0
HaLaN_07721	0	0	4.932478	6.3358
HaLaN_07722	0	0	1.6098	0
HaLaN_07723	0	0	4.29235	6.948234
HaLaN_07724	0	0	4.930984	3.699468
HaLaN_07728	0	0	0	8.184726
HaLaN_07730	0	0	52.131802	47.758442
HaLaN_07734	0	0	1.589233	0
HaLaN_07735	0	0	34.384022	40.325531
HaLaN_07737	0	0	41.665829	32.201275
HaLaN_07738	0	0	10.027792	0
HaLaN_07740	0	0	1.468148	3.912884
HaLaN_07741	0	0	3.323963	2.588475
HaLaN_07744	0	0	4.280616	0
HaLaN_07746	0	0	47.380569	35.962791
HaLaN_07747	0	0	48.366886	45.962955
HaLaN_07748	0	0	20.227003	27.62822
HaLaN_07755	0	0	1.491636	1.067339
HaLaN_07756	58.968983	40.937691	13.995081	18.654604
HaLaN_07757	555.303223	562.358459	3.794043	6.295984
HaLaN_07758	0	0	55.3834	77.736389
HaLaN_07761	0	192.909561	77.011772	52.988434
HaLaN_07765	0	0	46.220142	38.883728
HaLaN_07770	0	0	13.616072	3.615307
HaLaN_07772	35.266617	0	0	0
HaLaN_07773	36.113693	0	7.625966	11.524755
HaLaN_07778	0	44.183746	18.92803	33.6684
HaLaN_07780	0	0	0	3.854278
HaLaN_07781	82.941963	0	73.065575	57.095093
HaLaN_07786	0	0	11.806326	21.577307
HaLaN_07788	846.470764	933.384583	607.725159	702.182922
HaLaN_07796	0	0	0	6.666543
HaLaN_07797	0	2.607284	20.537981	37.370224
HaLaN_07798	465.868652	236.597809	414.223022	367.804443
HaLaN_07804	0	0	4.031509	8.591554
HaLaN_07805	0	0	0	7.476349
HaLaN_07807	0	0	0	5.924229
HaLaN_07812	23.329561	20.324472	27.876921	32.221508
HaLaN_07814	0	0	28.226948	28.810741
HaLaN_07815	275.665741	275.620605	323.048218	289.395355
HaLaN_07819	0	0	8.645771	0
HaLaN_07820	0	0	11.821627	0
HaLaN_07821	0	0	10.497025	0
HaLaN_07824	0	0	24.187155	0
HaLaN_07825	0	0	5.150629	12.746273
HaLaN_07826	894.118958	981.656616	826.65863	626.945068
HaLaN_07827	840.306213	906.200073	707.709778	566.552673
HaLaN_07828	507.505646	438.401306	340.615082	271.532837
HaLaN_07831	604.516113	304.373322	257.357971	307.892181
HaLaN_07833	0	107.567139	61.888313	65.870926
HaLaN_07835	0	0	6.928391	3.226142
HaLaN_07836	28.854189	0	10.772883	27.660122
HaLaN_07837	0	0	26.884367	42.411556
HaLaN_07840	0	190.776459	312.779327	261.814392
HaLaN_07842	476.526398	331.612366	431.264923	381.723846
HaLaN_07846	0	0	15.895019	5.730437
HaLaN_07849	0	12.105748	30.688379	33.206505
HaLaN_07850	0	0	206.820648	202.913055
HaLaN_07851	0	37.197922	47.541019	44.68882
HaLaN_07855	22.863781	66.159317	72.443985	89.874466
HaLaN_07858	0	62.545746	37.657852	40.454659
HaLaN_07859	0	0	122.369888	115.579674
HaLaN_07860	0	0	9.224186	0
HaLaN_07861	0	0	0.982776	0.870793
HaLaN_07862	0	0	3.634555	0
HaLaN_07863	0	0	0	2.153871
HaLaN_07864	0	0	10.854465	4.83115
HaLaN_07866	0	0	100.667213	112.209999
HaLaN_07872	0	0	6.162718	9.217433
HaLaN_07873	39.918167	47.049248	49.50975	45.707314
HaLaN_07875	67.476639	0	35.160992	35.500664
HaLaN_07877	110.202591	153.352798	95.323303	106.190636
HaLaN_07880	0	0	11.902301	15.837827
HaLaN_07881	42.423805	85.264587	10.682673	10.788274
HaLaN_07882	0	0	31.099533	29.311344
HaLaN_07891	75.664314	0	96.375267	109.036011
HaLaN_07893	486.201569	605.26123	449.147583	481.822815
HaLaN_07896	0	0	15.610766	31.67725
HaLaN_07897	0	0	5.53699	0
HaLaN_07900	0	0	19.374334	15.753236
HaLaN_07902	0	0	22.42169	20.493723
HaLaN_07903	0	0	61.384197	62.164738
HaLaN_07905	0	0	49.502331	31.679207
HaLaN_07907	0	0	10.021505	13.528276
HaLaN_07908	0	7.447554	0.857349	0.623286
HaLaN_07909	0	73.68737	59.889118	71.314049
HaLaN_07912	0	0	3.014259	2.234535
HaLaN_07917	0	0	10.684969	12.940538
HaLaN_07918	0	0	11.336917	10.136982
HaLaN_07919	0	0	11.513173	14.984711
HaLaN_07930	0	0	16.722023	10.977245
HaLaN_07932	0	0	4.828143	0
HaLaN_07933	0	0	2.189466	3.001113
HaLaN_07943	0	45.824993	4.865425	3.553165
HaLaN_07947	0	201.857742	23.24415	0
HaLaN_07949	0	0	4.365505	0
HaLaN_07950	0	0	1.006955	3.464202
HaLaN_07954	59.095013	0	34.645649	32.3969
HaLaN_07957	30.868979	0	21.544159	19.984354
HaLaN_07958	135.534454	99.552063	94.924911	81.043411
HaLaN_07959	0	0	27.404039	25.2609
HaLaN_07960	37.813786	0	28.337831	22.852343
HaLaN_07961	0	0	25.976038	19899
HaLaN_07962	0	0	28.335625	29.382393
HaLaN_07963	0	0	2.16433	3.810652
HaLaN_07964	0	0	13.182201	18.338545
HaLaN_07975	0	0	69.591583	60.802044
HaLaN_07978	0	0	311.707733	240.291901
HaLaN_07985	0	0	73.468651	69.890892
HaLaN_07986	223.825439	228.417938	207.7621	257.974091
HaLaN_07993	0	0	35.010078	34.79607
HaLaN_07998	0	0	0	1.315339
HaLaN_08004	0	0	166.297394	97.726906
HaLaN_08009	170.906342	0	239.260422	290.372833
HaLaN_08013	0	0	7.183991	0
HaLaN_08016	0	0	0	0.208127
HaLaN_08017	0	0	7.634539	7.224977
HaLaN_08018	0	0	19.946064	21.019575
HaLaN_08023	3079.871338	2596.233887	2663.646484	2054.001465
HaLaN_08024	56.038948	0	36.45377	40.130581
HaLaN_08026	0	0	16.607082	0
HaLaN_08028	0	0	14.006259	0
HaLaN_08030	0	0	1.266537	7.442819
HaLaN_08033	0	0	0	7.447319
HaLaN_08036	0	0	16.88604	37.759274
HaLaN_08038	0	0	0	3.714889
HaLaN_08039	0	0	15.012535	13.280169
HaLaN_08040	0	0	0	6.357984
HaLaN_08041	194.227097	213.209976	59.403351	0
HaLaN_08042	114.261528	0	131.054977	83.980225
HaLaN_08048	0	8.211547	24.950312	20.419498
HaLaN_08050	0	0	17.001375	12.905893
HaLaN_08053	82.854156	0	23.945776	29.417826
HaLaN_08056	0	0	22.125889	6.660396
HaLaN_08058	72.059837	140.684616	61.67104	49.182079
HaLaN_08063	0	0	8.040378	8.424533
HaLaN_08064	0	0	4.248693	8.265556
HaLaN_08065	0	0	7.986763	7.284105
HaLaN_08066	0	0	13.686832	11.114411
HaLaN_08068	4.436788	1.469046	2.998506	1.961477
HaLaN_08069	0	0	86.021667	66.386284
HaLaN_08072	0	0	8.063068	0
HaLaN_08074	5.831453	0	0	4.598734
HaLaN_08078	370.850464	208.209167	287.352661	215.022614
HaLaN_08081	0	0	0	1.465123
HaLaN_08086	0	91.001892	40.11562	42.309906
HaLaN_08087	0	0	6.100773	13.902707
HaLaN_08088	33.88382	0	28.148502	44.331753
HaLaN_08089	0	6.748899	36.216496	36.987373
HaLaN_08095	0	0	3.985534	11.704556
HaLaN_08096	0	0	15.081092	9.405855
HaLaN_08102	83.057259	57.904465	21.297052	40.198837
HaLaN_08111	378.631012	525.538025	923.274231	887.330261
HaLaN_08112	0	0	95.131516	90.562965
HaLaN_08119	0	0	0	4.043833
HaLaN_08121	14.618229	0	43.838669	51.163406
HaLaN_08125	212.38533	147.336517	70.818344	72.982887
HaLaN_08126	0	0	82.4459	0
HaLaN_08134	0	0	10.247879	8.906693
HaLaN_08140	0	0	3.746785	0
HaLaN_08141	0	0	7.28372	4.191769
HaLaN_08142	0	0	8.628053	7.858916
HaLaN_08148	0	0	9.846185	0
HaLaN_08149	0	0	23.703634	27.621424
HaLaN_08151	42.621326	0	9.966848	3.54868
HaLaN_08155	160.269791	272.846588	176.842117	197.114731
HaLaN_08161	117.605507	134.883789	165.513367	195.821777
HaLaN_08163	0	0	0.849418	0
HaLaN_08166	0	0	11.781671	17.018484
HaLaN_08168	0	0	16.016447	19.558868
HaLaN_08172	0	0	3.502367	4.93459
HaLaN_08173	0	0	4.44088	7.6231
HaLaN_08182	0	0	2.272166	6.284105
HaLaN_08183	0	0	5.625745	0
HaLaN_08184	115.541718	0	25.143932	25.803707
HaLaN_08190	0	0	6.718253	0
HaLaN_08192	119.846779	147.326736	48.114937	46.455433
HaLaN_08198	315.892548	418.383911	105.903038	96.422668
HaLaN_08200	50.494736	66.403503	56.305023	67.375282
HaLaN_08201	63.630196	59.966972	42.19487	66.536415
HaLaN_08206	0	0	13.066073	0
HaLaN_08208	0	0	2.218493	0.912517
HaLaN_08209	0	0	0	1.245497
HaLaN_08210	0	0	7.322106	6.826541
HaLaN_08220	0	0	9.315263	0
HaLaN_08223	0	0	1.478106	7.813239
HaLaN_08225	0	0	8.642083	0
HaLaN_08227	155.907455	192.217896	146.943436	106.062904
HaLaN_08230	0	0	4.229824	0
HaLaN_08234	0	0	0.989073	0
HaLaN_08238	16.681566	0	6.562526	12.629441
HaLaN_08239	0	0	9.71055	0
HaLaN_08243	0	0	4.861465	0
HaLaN_08245	0	0	1.911098	5.28241
HaLaN_08248	0	0	6.174473	9.448628
HaLaN_08254	0	0	1.867231	3.668229
HaLaN_08255	0	0	4.714416	4.795189
HaLaN_08258	0	73.760284	79.916283	76.54821
HaLaN_08260	0	0	36.694317	41.100567
HaLaN_08261	0	0	0	3.019378
HaLaN_08264	0	0	26.561005	23.84712
HaLaN_08265	0	0	2.357041	4.074441
HaLaN_08268	0	0	17.647091	16.643938
HaLaN_08269	0	0	63.329304	47.888912
HaLaN_08270	119.302948	0	189.361679	212.500275
HaLaN_08272	0	0	6.105694	8.853238
HaLaN_08275	394.463928	417.089966	264.903625	237.509903
HaLaN_08278	0	0	12.963384	15.994686
HaLaN_08279	288.865173	0	235.452911	180.352448
HaLaN_08282	0	0	2.862872	0
HaLaN_08284	0	0	70.085663	82.167572
HaLaN_08287	0	0	63.060081	51.100975
HaLaN_08289	697.904541	632.209106	1199.332153	1108.887939
HaLaN_08294	335.175964	276.816284	191.18309	188.271957
HaLaN_08295	371.044098	348.959076	425.549805	376.786896
HaLaN_08296	0	41.113781	2.718043	0
HaLaN_08297	0	0	5.324641	1.603522
HaLaN_08300	0	0	3.950989	3.480099
HaLaN_08301	0	0	7.900476	9.759591
HaLaN_08302	6721.911133	7531.6875	24176.623047	28564.357422
HaLaN_08303	0	0	9.680356	14.945572
HaLaN_08308	0	0	6.396242	5.86127
HaLaN_08309	2356.655518	1764.923828	2131.914062	2170.515625
HaLaN_08310	0	0	26.322285	26.406769
HaLaN_08311	0	0	3.905339	0
HaLaN_08317	0	0.882718	4.321791	2.898818
HaLaN_08319	0	0	90.862076	95.865891
HaLaN_08322	0	378.695923	295.422333	385.543579
HaLaN_08323	153.499954	243.417953	8.269215	0
HaLaN_08324	648.072998	274.709961	19.332615	0
HaLaN_08326	0	0	31.423643	24.271357
HaLaN_08327	35.606396	49.073715	16.35071	21.083649
HaLaN_08328	0	0	1.785003	0
HaLaN_08329	0	0	3.595838	2.760221
HaLaN_08334	34.620308	0	15.21227	32.886765
HaLaN_08339	0	0	0.980882	0
HaLaN_08342	195.396667	0	169.116898	176.079361
HaLaN_08344	0	0	2.171952	0
HaLaN_08346	0	0	7.917869	6.233705
HaLaN_08350	58.121445	0	20.04879	20.889627
HaLaN_08354	0	0	195.111923	157.567505
HaLaN_08355	0	0	151.780914	126.058159
HaLaN_08361	0	0	56.472424	90.823799
HaLaN_08362	105.457672	0	72.311287	42.917255
HaLaN_08364	0	0	0	2.739806
HaLaN_08366	254.99614	170.290314	126.018791	113.200447
HaLaN_08367	0	23.917744	26.550913	36.268173
HaLaN_08368	163.706772	112.396912	164.580643	111.961075
HaLaN_08370	0	0	0	7.943806
HaLaN_08371	0	0	1.164209	3.116199
HaLaN_08374	0	0	32.202297	24.871841
HaLaN_08380	0	0	1.451634	0
HaLaN_08382	0	0	22.840317	25.108925
HaLaN_08383	0	0	29.592178	21.876381
HaLaN_08385	90.45916	0	4.082802	0
HaLaN_08387	0	0	12.948974	11.275713
HaLaN_08388	0	0	19.533747	13.550764
HaLaN_08389	204.956131	172.724426	130.617035	84.287148
HaLaN_08390	306.459381	317.135651	250.626495	256.942902
HaLaN_08392	156.07933	247.859818	48.813366	31.54339
HaLaN_08393	0	0	0	11.627404
HaLaN_08396	0	27.491659	9.209935	11.490828
HaLaN_08397	82.390778	0	57.254627	53.212341
HaLaN_08398	0	0	17.387413	14.309595
HaLaN_08400	0	0	5.776803	6.256319
HaLaN_08401	0	0	3.818063	0
HaLaN_08402	335.394379	233.552795	300.127625	318.083282
HaLaN_08403	0	0	47.201855	45.627892
HaLaN_08404	0	0	53.139256	40.32259
HaLaN_08405	0	0	53.633762	49.189465
HaLaN_08408	36.182629	0	49.721115	53.184555
HaLaN_08409	0	0	1.661353	3.531959
HaLaN_08410	0	0	12.344805	14.504289
HaLaN_08411	0	0	10.415201	12.871684
HaLaN_08412	0	134.235443	3.781751	0
HaLaN_08416	0	0	31.919014	32.157112
HaLaN_08418	0	0	4.191281	10.456955
HaLaN_08419	0	0	22.095991	16.582594
HaLaN_08421	0	0	4.784117	0
HaLaN_08426	0	0	5.014737	0
HaLaN_08433	0	0	0	20.458471
HaLaN_08438	0	0	2.883092	2.827169
HaLaN_08439	67.330345	0	38.252613	34.079803
HaLaN_08440	0	0	20.705948	24.690695
HaLaN_08442	0	0	4.814494	9.683308
HaLaN_08443	0	0	11.6648	16.742712
HaLaN_08444	0	0	6.085633	10.751218
HaLaN_08445	0	0	5.187269	7.99909
HaLaN_08446	0	0	3.743516	0
HaLaN_08449	0	0	3.125198	13.775634
HaLaN_08450	0	0	37.007465	19.889338
HaLaN_08451	0	0	0	14.586851
HaLaN_08453	0	0	0	0.695689
HaLaN_08455	0	0	8.692532	0
HaLaN_08456	0	0	9.016893	21.922539
HaLaN_08457	33.955086	0	6.298663	7.537239
HaLaN_08458	0	0	9.141086	37.300537
HaLaN_08462	0	0	3.318662	0
HaLaN_08463	0	0	0	11.844732
HaLaN_08466	0	0	3.884303	0
HaLaN_08467	0	0	2.629698	0
HaLaN_08471	2659.891846	3563.857422	8533.960938	10205.640625
HaLaN_08474	258.886871	286.941101	170.904739	216.383194
HaLaN_08477	0	0	10.647616	9.703336
HaLaN_08479	0	0	11.982226	0
HaLaN_08480	0	0	8.027124	6.586524
HaLaN_08481	0	70.413261	76.382988	64.234711
HaLaN_08483	27.690823	88.963493	57.171886	53.70512
HaLaN_08486	0	0	1.522863	0
HaLaN_08488	0	0	12.900211	16.973276
HaLaN_08493	3066.444824	3098.160645	2244.128174	2082.634521
HaLaN_08494	0	0	0	12.300859
HaLaN_08495	0	0	8.053761	14.255676
HaLaN_08496	0	0	4.071686	0
HaLaN_08497	36.675549	60.834671	55.576275	61.581364
HaLaN_08498	960.188354	668.796082	85.49054	66.014336
HaLaN_08499	723.151978	887.406494	66.80352	62.259933
HaLaN_08500	64.285934	52.61895	40.628162	30.239468
HaLaN_08502	0	0	8.876044	0
HaLaN_08503	0	0	45.472565	33.933613
HaLaN_08506	0	0	5.467257	6.840628
HaLaN_08507	0	14.821148	16.714857	22.597301
HaLaN_08508	0	0	13.731564	17.236441
HaLaN_08517	0	0	17.954805	33.103508
HaLaN_08519	96.768883	0	124.055389	110.101685
HaLaN_08522	0	0	22.373726	0
HaLaN_08523	132.053619	63.07753	157.976852	170.704117
HaLaN_08529	105.89743	0	0	0
HaLaN_08533	0	0	59.213772	42.596123
HaLaN_08534	0	0	26.476101	28.96026
HaLaN_08539	0	0	3.966796	0
HaLaN_08552	582.38446	421.423828	403.114349	404.317749
HaLaN_08553	0	0	95.043884	79.381699
HaLaN_08555	0	0	6.035589	11.733228
HaLaN_08556	150.013489	136.795181	130.173218	133.831146
HaLaN_08560	0	0	0	1.69994
HaLaN_08562	0	0	18.49947	0
HaLaN_08563	0	0	114.917198	106.275604
HaLaN_08564	0	0	159.239151	173.03685
HaLaN_08567	1142.766113	1117.847412	642.821838	567.62915
HaLaN_08568	5019.444824	5465.66748	1660.263916	1364.692139
HaLaN_08569	8991.130859	8373.142578	3648.718994	3145.707031
HaLaN_08572	0	0	0.415905	0
HaLaN_08579	0	0	21.797386	0
HaLaN_08580	0	0	0	24.347702
HaLaN_08584	0	70.048859	121.682899	104.555099
HaLaN_08586	0	37.364037	0	0
HaLaN_08587	0	0	3.003977	5.203688
HaLaN_08588	0	0	4.155483	2.562323
HaLaN_08589	242.860809	94.403793	94.229523	126.707481
HaLaN_08591	0	0	11.834923	26.584425
HaLaN_08593	0	0	4.458478	3.335857
HaLaN_08595	0	0	12.369771	19.70615
HaLaN_08597	0	0	0	4.014515
HaLaN_08598	0	0	3.907127	7.059477
HaLaN_08600	0	0	2.087488	0
HaLaN_08604	0	12.863484	60.005047	0
HaLaN_08606	0	0	48.281517	84.996841
HaLaN_08613	0	0	33.342388	34.052418
HaLaN_08614	0	0	5.54599	8.931574
